train_loss,train_acc,epoch,step,val_loss,val_acc
,,12,5082,0.8302708864212036,0.7861999869346619
0.4135045111179352,0.859375,13,5099,,
0.41881051659584045,0.859375,13,5149,,
0.6020015478134155,0.7890625,13,5199,,
0.45548272132873535,0.859375,13,5249,,
0.47221916913986206,0.84375,13,5299,,
0.37742146849632263,0.8671875,13,5349,,
0.49560996890068054,0.8359375,13,5399,,
0.5253957509994507,0.8203125,13,5449,,
,,13,5473,0.6681410670280457,0.8416000008583069
0.4264466166496277,0.84375,14,5499,,
0.5121102333068848,0.8046875,14,5549,,
0.49500522017478943,0.84375,14,5599,,
0.3569498062133789,0.8984375,14,5649,,
0.3087479770183563,0.9140625,14,5699,,
0.44215142726898193,0.84375,14,5749,,
0.306760311126709,0.8828125,14,5799,,
0.47418737411499023,0.8359375,14,5849,,
,,14,5864,0.4558640718460083,0.8574000000953674
0.4763800799846649,0.8046875,15,5899,,
0.26039984822273254,0.8984375,15,5949,,
0.3501041531562805,0.9140625,15,5999,,
0.39545997977256775,0.859375,15,6049,,
0.47166624665260315,0.8671875,15,6099,,
0.25705015659332275,0.921875,15,6149,,
0.2535715401172638,0.875,15,6199,,
0.5254955887794495,0.8203125,15,6249,,
,,15,6255,0.45589306950569153,0.8525000214576721
0.34584841132164,0.8671875,16,6299,,
0.37716373801231384,0.8828125,16,6349,,
0.4572577476501465,0.859375,16,6399,,
0.3664790391921997,0.90625,16,6449,,
0.4274168014526367,0.84375,16,6499,,
